rhoc,Tc,R,M,L,Tsurf
68.29335155487061,8235440.0,44914491504.23042,1.2802534010627254e+33,2.762174103975656e+32,3723.2421969458464
68.29335155487061,8235440.0,45004500549.59496,1.2802534012638789e+33,2.762174103975656e+32,3719.517089430971
68.29335155487061,8235440.0,45004500549.59496,1.2802534012638789e+33,2.762174103975656e+32,3719.517089430971
68.29335155487061,8235440.0,44914491504.23042,1.2802534010627254e+33,2.762174103975656e+32,3723.2421969458464
68.29335155487061,8235440.0,44909490959.275925,1.2802534007722335e+33,2.762174103975656e+32,3723.4494774264463
68.29335155487061,8235440.0,44909490959.275925,1.2802534007723703e+33,2.762174103975661e+32,3723.4494774264476
68.29335155487061,8235440.0,44939493959.515945,1.2803214602774824e+33,2.7621756961079634e+32,3722.2068610865754
68.29335155487061,8235440.0,50000000000.0,1.2925548284249282e+33,2.762505731296177e+32,3528.9261018724064
345.6803777694702,8235440.0,17566756740.534054,7.841941741223325e+33,1.2652244533240658e+33,8709.59318034337
68.29335155487061,8235440.0,44909490959.275925,1.2802534007723703e+33,2.762174103975661e+32,3723.4494774264476
68.29335155487061,8235440.0,41774177434.19341,1.2698982803602392e+33,2.7618477922194044e+32,3860.537282023727
68.29335155487061,8235440.0,44909490959.275925,1.2802534007723703e+33,2.762174103975661e+32,3723.4494774264476
