rhoc,Tc,R,M,L,Tsurf,StarNum
65.07996778488159,3000000.0,18535260352.603523,2.8969554348879014e+32,1.0018321962203724e+30,1422.33325973106,0
41.19444702118635,3916666.6666666665,24899148991.489914,4.450497837638491e+32,2.830365662058775e+30,1591.00120574294,1
35.4309983100422,4833333.333333333,35192651926.519264,7.311384812508551e+32,9.592431117206936e+30,1815.7561616031596,2
41.72362125525706,5750000.0,44894973949.739494,9.276178822565574e+32,2.6954735004490347e+31,2081.4295725323395,3
47.98349949539154,6666666.666666666,51432739327.39327,1.0822777544668034e+33,6.449549280939178e+31,2418.597018931194,4
54.190628632950116,7583333.333333333,58040055400.554,1.230627089601096e+33,1.3792701271621148e+32,2753.274386583257,5
60.35097422164808,8500000.0,63360683606.83607,1.3766682523905807e+33,2.7050251503468678e+32,3118.455540373028,6
66.46905814227482,9416666.666666666,67777152771.52771,1.5222861720735125e+33,4.952216352790187e+32,3510.4097772097634,7
72.54703810629283,10333333.333333332,70315753157.53157,1.6678671842152756e+33,8.572031572577457e+32,3871.7333186073347,8
78.58135560761846,11250000.0,71950194501.94502,1.8134981755598924e+33,1.416271314611273e+33,4710.185163504927,9
84.55207139315549,12166666.666666666,74593120931.20932,1.9591990847897187e+33,2.2496272441265696e+33,5431.346207088628,10
90.39359409387355,13083333.333333332,73897613976.13976,2.10498429446913e+33,3.45412426541139e+33,4385.507876931353,11
95.92412280329206,14000000.0,74593120931.20932,2.2508801686122137e+33,5.146617902795206e+33,4501.836498650671,12
100.7055968432046,14916666.666666666,84817073170.7317,2.3969715239145482e+33,7.458679026562994e+33,224164.9303929862,13
103.86727190736012,15833333.333333332,85964659646.59647,2.543605665877947e+33,1.05219495169971e+34,241418.0625974412,14
104.21047956903811,16750000.0,1668903714037.1404,2.6938780072317963e+33,1.4512392971383027e+34,924968.1146156772,15
101.19040585050263,17666666.666666664,257685326853.26852,2.8769587341519243e+33,2.064803585858103e+34,858518.9743159158,16
94.41647466325466,18583333.333333332,1035957609576.0958,3.1259461450639144e+33,3.176131073868512e+34,979396.316874244,17
84.38121130971561,19500000.0,308353008530.08527,3.469381449590677e+33,5.406566450767113e+34,936190.1189723611,18
71.71794955829301,20416666.666666664,89094440944.40944,3.924799454796131e+33,9.995418218118953e+34,2934.5836071268454,19
57.70475509332027,21333333.333333332,365523680236.80237,4.5140986539706903e+33,1.935888164386686e+35,1000945.2417100028,20
44.46811054656515,22250000.0,110655156551.5655,5.26844554273828e+33,3.801814921930344e+35,3545.5053246141306,21
33.34252985283632,23166666.666666664,123417709177.09177,6.232811215618886e+33,7.41424222422523e+35,3125.704359971275,22
24.675680040665494,24083333.333333332,140457629576.29575,7.461830947450373e+33,1.4238607085655491e+36,5034.508382277613,23
18.204763920017626,25000000.0,158471259712.5971,9.015064457262233e+33,2.687794762428713e+36,5242.252934286576,24
